comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000579      NA          .006889           .191936             .246795            .247500              6             69
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000363      NA          .007032           .191858             .238147            .238750              7             73
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000449      NA          .006861           .238643             .255481            .255833              7             66
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000452      NA          .006764           .238476             .248543            .249166              7             67
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000371      NA          .006632           .237140             .253525            .254166              6             65
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000434      NA          .006307           .189611             .256566            .257083              7             61
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000391      NA          .006969           .237249             .256504            .257083              7             67
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000442      NA          .006843           .239169             .256107            .256666              7             66
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000447      NA          .006120           .191111             .256227            .256666              7             59
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              25000            27          0           1           0               1             .000457      NA          .007004           .192214             .244522            .245000              7             71
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000480      NA          .005542           .238930             .256129            .256666              7             54
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000420      NA          .005973           .197012             .256794            .257500              9             58
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000429      NA          .006593           .234386             .247937            .248333              6             66
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000655      NA          .005882           .238074             .248257            .248750              7             59
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000464      NA          .006336           .240397             .256439            .257083              7             61
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000563      NA          .005469           .234349             .257038            .257500              7             53
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000408      NA          .006099           .193221             .256924            .257500              7             59
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .001046      NA          .004676           .123252             .219546            .220416              7             53
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000419      NA          .006767           .185258             .256011            .256666              6             65
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              10000            27          0           1           0               1             .000614      NA          .006624           .200950             .333425            .334166              7             49
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000425      NA          .006800           .188533             .248372            .248750              7             68
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000547      NA          .004899           .183487             .241440            .242083              7             51
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000436      NA          .005323           .199371             .248663            .249166              7             53
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000528      NA          .005043           .166922             .244779            .245416              7             51
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000541      NA          .004977           .117947             .221873            .222500              7             56
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000873      NA          .006667           .191933             .247454            .248333              7             67
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000608      NA          .005966           .241334             .286964            .287500              7             51
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000573      NA          .006432           .239895             .247752            .248333              6             64
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000446      NA          .006518           .238327             .246322            .247083              7             65
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              1000             27          0           1           0               1             .000454      NA          .006190           .200331             .253192            .253750              6             60
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .000570      NA          .005312           .164571             .244027            .244583              6             54
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .000885      NA          .007089           .189197             .253148            .253750              7             69
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .000611      NA          .006284           .162417             .253490            .254166              7             61
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .000710      NA          .006389           .177895             .243768            .244583              7             65
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .001010      NA          .006338           .237475             .245670            .246666              7             64
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .001200      NA          .005602           .186648             .244314            .245416              6             56
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .000688      NA          .004991           .171168             .260283            .261250              7             48
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .000647      NA          .005972           .219057             .244984            .245833              6             60
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .000763      NA          .005554           .219399             .246574            .247083              7             56
0.02          3                  1                  0    4        512       510       1         0         5         10000     10000     0              100              27          0           1           0               1             .000618      NA          .006353           .213019             .244619            .245416              7             64
