comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.95          357                1                  0    1        256       525       1         0         5         10000     10000     0              10000            1           0           0           0               1             .060800      NA          .047977           .103426             .103417            .160000              17            57
3.84          358                1                  0    1        256       525       1         0         5         10000     10000     0              10000            1           0           0           0               1             .058947      NA          .060612           .136379             .136359            .190000              16            60
3.83          357                1                  0    1        256       525       1         0         5         10000     10000     0              10000            1           0           0           0               1             .059913      NA          .066012           .120785             .120774            .180000              17            67
3.83          357                1                  0    1        256       525       1         0         5         10000     10000     0              10000            1           0           0           0               1             .061911      NA          .065613           .138736             .138732            .200000              16            61
3.85          358                1                  0    1        256       525       1         0         5         10000     10000     0              10000            1           0           0           0               1             .075561      NA          .053734           .114077             .114068            .190000              16            52
3.97          357                1                  0    1        256       525       1         0         5         10000     10000     0              10000            1           0           0           0               1             .059989      NA          .068514           .121905             .121893            .180000              16            69
3.95          358                1                  0    1        256       525       1         0         5         10000     10000     0              10000            1           0           0           0               1             .060517      NA          .052333           .105130             .105127            .160000              19            59
4.14          357                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .060461      NA          .067067           .117555             .117544            .180000              17            69
4.19          358                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .072286      NA          .068145           .131052             .131043            .200000              16            62
3.81          358                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .059585      NA          .062121           .137231             .137219            .200000              16            60
3.98          358                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .066412      NA          .060973           .123817             .123805            .190000              16            62
4.01          357                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .066047      NA          .065891           .124503             .124492            .190000              19            65
3.94          359                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .075469      NA          .066477           .135154             .135145            .210000              16            57
3.88          358                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .061044      NA          .065870           .138663             .138658            .200000              16            61
4.07          358                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .050892      NA          .051997           .098347             .098327            .150000              19            66
3.97          357                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .059017      NA          .051987           .125006             .124995            .180000              19            55
4.05          357                1                  0    1        256       525       1         0         5         10000     10000     0              1000             1           0           0           0               1             .060261      NA          .052599           .121615             .121606            .180000              16            54
3.84          357                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .060618      NA          .065670           .143641             .143636            .200000              16            60
3.80          358                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .059954      NA          .063466           .147646             .147635            .210000              16            58
3.93          357                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .071300      NA          .061158           .160907             .160898            .230000              19            51
3.93          358                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .056769      NA          .048347           .139152             .139144            .190000              16            46
3.90          357                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .059796      NA          .064622           .159647             .159635            .220000              20            56
4.06          359                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .065821      NA          .064664           .147680             .147668            .210000              19            57
3.93          358                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .062136      NA          .066552           .141184             .141179            .200000              19            60
3.86          357                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .065274      NA          .050437           .131750             .131743            .200000              16            46
4.00          357                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .060726      NA          .066940           .153570             .153565            .210000              17            58
3.86          358                1                  0    1        256       525       1         0         5         10000     10000     0              100              1           0           0           0               1             .071352      NA          .065297           .137657             .137649            .210000              15            58
