comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.042344;NA;.006183;.294248;.465337;.465833;5;33
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.042324;NA;.006604;.287243;.429639;.430000;5;38
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.000426;NA;.006108;.312473;.391750;.392500;5;38
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.042342;NA;.006845;.280942;.355456;.395000;5;43
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.042299;NA;.005365;.305541;.448827;.449583;5;29
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.084003;NA;.006122;.268690;.537072;.537500;5;28
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.042306;NA;.006395;.490454;.603760;.604166;5;26
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.126276;NA;.006660;.482542;.657733;.658333;5;25
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.043351;NA;.006916;.476027;.553407;.595416;10;28
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.043134;NA;.006648;.492995;.637077;.637500;5;25
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.042495;NA;.006970;.493512;.606942;.645416;5;26
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.042271;NA;.006772;.492216;.680745;.722916;5;23
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.042518;NA;.006674;.490268;.717162;.717916;5;23
0.03;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.042573;NA;.006505;.512444;.705387;.705833;5;22
0.03;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.084828;NA;.006376;.509397;.749108;.749583;5;21
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;2;1;.043280;NA;.006790;.503282;.751819;.752500;5;22
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.127111;NA;.006550;1.084218;1.469239;1.511250;5;10
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.084731;NA;.006862;1.110970;1.580840;1.622916;5;10
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.042799;NA;.006488;1.080968;1.308463;1.350833;5;11
0.03;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.125919;NA;.006729;1.115242;1.739660;1.740416;5;9
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.168506;NA;.006806;1.116201;1.543565;1.628333;5;10
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.043222;NA;.006646;1.088224;1.409038;1.409583;5;11
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.127331;NA;.006664;1.109918;1.436681;1.480000;5;11
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.643827;NA;.006948;1.096234;1.479218;1.662916;5;10
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.085644;NA;.006633;1.069219;1.316637;1.317083;5;12
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;5;1;.043006;NA;.006542;1.101000;1.501968;1.545000;5;10
